userId,submitDate,createdAt,taskId,isChecked,comment
69818086f7c0b0206cb6e7aa,2026-01-27,2026-01-28T05:06:00.203Z,697b1e2cc01f188423ea7e10,true,"Next pattern"
69818086f7c0b0206cb6e7aa,2026-01-27,2026-01-28T05:06:00.203Z,697b1e2cc01f188423ea7e0f,true,"Nice work"
69818086f7c0b0206cb6e7aa,2026-01-27,2026-01-28T05:06:00.203Z,697b1e2cc01f188423ea7e13,false,"Its a good UX suggestion but we dont have enough time to implement this and test. We will discuss in person"
69818086f7c0b0206cb6e7aa,2026-01-27,2026-01-28T05:06:00.203Z,697b1e2cc01f188423ea7e18,true,"Good working"
69818086f7c0b0206cb6e7aa,2026-01-27,2026-01-28T05:06:00.203Z,697b1e2cc01f188423ea7e16,true,"Fixed work"
69818086f7c0b0206cb6e7aa,2026-01-28,2026-01-29T05:06:00.203Z,697b1e2cc01f188423ea7e10,true,"Next pattern"
69818086f7c0b0206cb6e7aa,2026-01-28,2026-01-29T05:06:00.203Z,697b1e2cc01f188423ea7e0f,true,"Nice work"
69818086f7c0b0206cb6e7aa,2026-01-28,2026-01-29T05:06:00.203Z,697b1e2cc01f188423ea7e13,false,"Its a good UX suggestion but we dont have enough time to implement this and test. We will discuss in person"
69818086f7c0b0206cb6e7aa,2026-01-28,2026-01-29T05:06:00.203Z,697b1e2cc01f188423ea7e18,true,"Good working"
69818086f7c0b0206cb6e7aa,2026-01-28,2026-01-29T05:06:00.203Z,697b1e2cc01f188423ea7e16,true,"Fixed work"
697b4587cb49ac60fcc81a53,2026-01-29,2026-01-30T05:09:31.591Z,697b1e3bc671c89acb64125a,true,"Test"
697b4587cb49ac60fcc81a53,2026-01-29,2026-01-30T05:09:31.591Z,697b1e3bc671c89acb64125d,true,"Test222"
697c92ca32312d496289807b,2026-01-29,2026-01-30T12:39:26.845Z,697b1e3bc671c89acb64125a,true,"Chetan Testingggggg"
697c92ca32312d496289807b,2026-01-29,2026-01-30T12:39:26.845Z,697b1e3bc671c89acb64125b,false,"aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa11111"
697c92ca32312d496289807b,2026-01-29,2026-01-30T12:39:26.845Z,697b1e3bc671c89acb64125c,false,"Chetan Test 3"
697c92ca32312d496289807b,2026-01-29,2026-01-30T12:39:26.845Z,697b1e3bc671c89acb641263,true,"asdfbsdk"
697f70cc24f27d5fc87eb067,2026-01-31,2026-02-01T15:28:34.155Z,697b1e3bc671c89acb64125a,true,"Good"
697f70cc24f27d5fc87eb067,2026-01-31,2026-02-01T15:28:34.155Z,697b1e3bc671c89acb641264,true,"This is done"
697f70cc24f27d5fc87eb067,2026-01-31,2026-02-01T15:28:34.155Z,697b1e3bc671c89acb64125c,false,"Not adding anything"
697f729286a5f75fe276dfdc,2026-01-31,2026-02-01T15:36:01.962Z,697b1e3bc671c89acb64125a,true,"Good fantastic"
697f70cc24f27d5fc87eb067,2026-02-01,2026-02-01T18:34:20.221Z,697b1e3bc671c89acb64125a,true,"Good going"
697f70cc24f27d5fc87eb067,2026-02-01,2026-02-01T18:34:20.221Z,697b1e3bc671c89acb64125b,true,"Nicely work"
69818086f7c0b0206cb6e7aa,2026-02-02,2026-02-03T05:06:00.203Z,697b1e2cc01f188423ea7e10,true,"Next pattern"
69818086f7c0b0206cb6e7aa,2026-02-02,2026-02-03T05:06:00.203Z,697b1e2cc01f188423ea7e0f,true,"Nice work"
69818086f7c0b0206cb6e7aa,2026-02-02,2026-02-03T05:06:00.203Z,697b1e2cc01f188423ea7e13,false,"Its a good UX suggestion but we dont have enough time to implement this and test. We will discuss in person"
69818086f7c0b0206cb6e7aa,2026-02-02,2026-02-03T05:06:00.203Z,697b1e2cc01f188423ea7e18,true,"Good working"
69818086f7c0b0206cb6e7aa,2026-02-02,2026-02-03T05:06:00.203Z,697b1e2cc01f188423ea7e16,true,"Fixed work all of them"
696dc548c6f1e9689723af89,2026-02-02,2026-02-03T10:14:59.036Z,697b1e2cc01f188423ea7e12,false,"PTA Meeting"
696ddd09c6f1e9689723f2b4,2026-02-02,2026-02-03T10:15:01.089Z,697b1e2cc01f188423ea7e0f,false,"विद्यार्थी अनुपस्थित होता"
